# Age_min    Age_max    SFR    err_SFR    SFR_times_area   err_SFR_times_area      Z       err_Z 
0.94   1.0    1.57558066157    0.413517977549    11640351.9807    3055060.85877    0.008487697119    0.00422419075977 
1.0   1.06    1.68234768298    0.400582921939    12429144.1634    2959496.97945    0.00835431472368    0.00400192669518 
1.06   1.12    1.75833270865    0.387006945606    12990519.703    2859197.99328    0.00831567742264    0.00379016029426 
1.12   1.18    1.84681548706    0.411857647025    13644228.3388    3042794.37685    0.00843693519863    0.00362484900021 
1.18   1.24    1.8429414466    0.42348589931    13615607.0212    3128703.62467    0.00847950047179    0.00346139772978 
1.24   1.3    1.91603324404    0.432602005433    14155607.4603    3196053.19715    0.00848707532192    0.00323898619673 
1.3   1.36    1.99129711405    0.457563425461    14711655.1192    3380467.56714    0.008533987242    0.00309953019148 
1.36   1.42    2.06487973091    0.488296385234    15255281.7204    3607521.93375    0.008451428636    0.00299207371163 
1.42   1.48    2.11326160618    0.533922955619    15612725.8497    3944609.93686    0.00840403758468    0.00292658217835 
1.48   1.54    2.27436509083    0.534162091668    16802954.5141    3946376.66823    0.00810453677389    0.00294429619125 
1.54   1.6    2.38122864073    0.559805093152    17592459.8471    4135826.5456    0.00799041342019    0.00306757304209 
1.6   1.66    2.48650083917    0.609014691084    18370208.3137    4499385.86994    0.00773756603592    0.00328624475244 
1.66   1.72    2.62201149931    0.646161805958    19371357.8071    4773827.85995    0.00755514077305    0.0036306014001 
1.72   1.78    2.7644391265    0.70783427853    20423609.6865    5229462.60197    0.00754372044275    0.00405028081159 
1.78   1.84    2.88157729183    0.737902432406    21289023.6308    5451605.39862    0.00758166927515    0.00440381609949 
1.84   1.9    3.00005731446    0.745619578554    22164351.1844    5508619.4885    0.00774901574692    0.00463241000752 
1.9   1.96    3.12915450626    0.751501360636    23118118.1282    5552073.95287    0.00799201382022    0.00472360597106 
1.96   2.02    3.24060859239    0.755760249782    23941538.2322    5583538.5233    0.00811050077124    0.00469470469583 
2.02   2.08    3.35199155108    0.768526101856    24764432.8485    5677852.33097    0.00818589670428    0.00452957251098 
2.08   2.14    3.37187036752    0.762247569367    24911297.0655    5631466.68416    0.00811140479244    0.00430989733709 
2.14   2.2    3.36630056875    0.757724238112    24870147.5263    5598048.42178    0.00791090221316    0.00405677648641 
2.2   2.26    3.2640219544    0.760715533568    24114515.5869    5620148.04057    0.00769063236283    0.00377661975173 
2.26   2.32    3.0898024461    0.791026170143    22827386.0556    5844082.29357    0.0075139998983    0.00348580488962 
2.32   2.44    2.84601283943    0.737740641375    21026274.313    5450410.09039    0.00726911863583    0.00326610711521 
2.44   2.52    2.62437464452    0.743969361848    19388816.667    5496427.72723    0.00711823128253    0.00318694536887 
2.52   2.6    2.37342961395    0.697552223671    17534840.8251    5153499.0283    0.00694750631402    0.00326279076994 
2.6   2.68    2.14107830816    0.668053426807    15818234.974    4935562.62754    0.0068353048529    0.00359124201213 
2.68   2.76    1.91606261984    0.642075505342    14155824.488    4743638.36942    0.00677918491189    0.00429669608502 
2.76   2.84    1.73664997499    0.624648981478    12830328.189    4614891.63082    0.00687684716957    0.00517377914762 
2.84   2.92    1.52009741653    0.615669288094    11230443.1026    4548549.87237    0.00772051902117    0.00595798759231 
2.92   3.0    1.31743052958    0.613081698578    9733145.02288    4529432.82335    0.00867076903954    0.00657236378943 
